Date,Price
2015/12/28,36
2015/12/29,38
2015/12/30,37
2015/12/31,37
,
2016/1/4,37
2016/1/5,36
2016/1/6,34
2016/1/7,33
2016/1/8,33
2016/1/11,31
2016/1/12,30
2016/1/13,30
2016/1/14,31
2016/1/15,29
,
2016/1/19,28
2016/1/20,27
2016/1/21,30
2016/1/22,32
2016/1/25,30
2016/1/26,30
2016/1/27,32
2016/1/28,33
2016/1/29,34
2016/2/1,32
2016/2/2,30
2016/2/3,32
2016/2/4,32
2016/2/5,31
2016/2/8,30
2016/2/9,28
2016/2/10,28
2016/2/11,26
2016/2/12,29
,
2016/2/16,29
2016/2/17,31
2016/2/18,31
2016/2/19,30
2016/2/22,31
2016/2/23,32
2016/2/24,30
2016/2/25,31
2016/2/26,32
2016/2/29,33
2016/3/1,34
2016/3/2,35
2016/3/3,35
2016/3/4,36
2016/3/7,38
2016/3/8,37
2016/3/9,38
2016/3/10,38
2016/3/11,39
2016/3/14,37
2016/3/15,36
2016/3/16,38
2016/3/17,40
2016/3/18,39
2016/3/21,40
2016/3/22,41
2016/3/23,38
2016/3/24,38
,
2016/3/28,38
2016/3/29,37
2016/3/30,37
2016/3/31,37
2016/4/1,35
2016/4/4,34
2016/4/5,35
2016/4/6,38
2016/4/7,37
2016/4/8,40
2016/4/11,40
2016/4/12,42
2016/4/13,42
2016/4/14,41
2016/4/15,40
2016/4/18,40
2016/4/19,41
2016/4/20,43
2016/4/21,43
2016/4/22,43
2016/4/25,42
2016/4/26,43
2016/4/27,45
2016/4/28,46
2016/4/29,46
2016/5/2,45
2016/5/3,44
2016/5/4,44
2016/5/5,44
2016/5/6,45
2016/5/9,43
2016/5/10,45
2016/5/11,46
2016/5/12,47
2016/5/13,46
2016/5/16,48
2016/5/17,48
2016/5/18,48
2016/5/19,48
2016/5/20,48
2016/5/23,48
2016/5/24,48
2016/5/25,49
2016/5/26,49
2016/5/27,49
,
2016/5/31,49
2016/6/1,49
2016/6/2,49
2016/6/3,49
2016/6/6,50
2016/6/7,50
2016/6/8,51
2016/6/9,51
2016/6/10,49
2016/6/13,49
2016/6/14,48
2016/6/15,48
2016/6/16,46
2016/6/17,48
2016/6/20,49
2016/6/21,49
2016/6/22,49
2016/6/23,49
2016/6/24,47
2016/6/27,46
2016/6/28,48
2016/6/29,50
2016/6/30,48
2016/7/1,49
,
2016/7/5,47
2016/7/6,47
2016/7/7,45
2016/7/8,45
2016/7/11,45
2016/7/12,47
2016/7/13,45
2016/7/14,46
2016/7/15,46
2016/7/18,45
2016/7/19,45
2016/7/20,45
2016/7/21,44
2016/7/22,43
2016/7/25,42
2016/7/26,42
2016/7/27,42
2016/7/28,41
2016/7/29,42
2016/8/1,40
2016/8/2,40
2016/8/3,41
2016/8/4,42
2016/8/5,42
2016/8/8,43
2016/8/9,43
2016/8/10,42
2016/8/11,44
2016/8/12,44
2016/8/15,46
2016/8/16,47
2016/8/17,47
2016/8/18,48
2016/8/19,48
2016/8/22,47
2016/8/23,48
2016/8/24,46
2016/8/25,47
2016/8/26,48
2016/8/29,47
2016/8/30,46
2016/8/31,45
2016/9/1,43
2016/9/2,44
,
2016/9/6,45
2016/9/7,45
2016/9/8,48
2016/9/9,46
2016/9/12,46
2016/9/13,45
2016/9/14,44
2016/9/15,44
2016/9/16,43
2016/9/19,43
2016/9/20,44
2016/9/21,45
2016/9/22,46
2016/9/23,44
2016/9/26,46
2016/9/27,45
2016/9/28,47
2016/9/29,48
2016/9/30,48
2016/10/3,49
2016/10/4,49
2016/10/5,50
2016/10/6,50
2016/10/7,50
2016/10/10,50
2016/10/11,51
2016/10/12,50
2016/10/13,50
2016/10/14,50
2016/10/17,50
2016/10/18,50
2016/10/19,52
2016/10/20,50
2016/10/21,51
2016/10/24,50
2016/10/25,49
2016/10/26,49
2016/10/27,50
2016/10/28,49
2016/10/31,47
2016/11/1,47
2016/11/2,45
2016/11/3,45
2016/11/4,44
2016/11/7,45
2016/11/8,45
2016/11/9,45
2016/11/10,45
2016/11/11,43
2016/11/14,43
2016/11/15,46
2016/11/16,46
2016/11/17,45
2016/11/18,46
2016/11/21,47
2016/11/22,48
2016/11/23,47
,
2016/11/25,47
2016/11/28,46
2016/11/29,45
2016/11/30,49
2016/12/1,51
2016/12/2,52
2016/12/5,52
2016/12/6,51
2016/12/7,50
2016/12/8,51
2016/12/9,52
2016/12/12,53
2016/12/13,53
2016/12/14,51
2016/12/15,51
2016/12/16,52
2016/12/19,52
2016/12/20,52
2016/12/21,51
2016/12/22,52
2016/12/23,52
,
2016/12/27,53
2016/12/28,54
2016/12/29,54
2016/12/30,54
,
2017/1/3,52
2017/1/4,53
2017/1/5,54
2017/1/6,54
2017/1/9,52
2017/1/10,51
2017/1/11,52
2017/1/12,53
2017/1/13,52
,
2017/1/17,52
2017/1/18,51
2017/1/19,51
2017/1/20,52
2017/1/23,53
2017/1/24,52
2017/1/25,52
2017/1/26,53
2017/1/27,53
2017/1/30,53
2017/1/31,53
2017/2/1,54
2017/2/2,54
2017/2/3,54
2017/2/6,53
2017/2/7,52
2017/2/8,52
2017/2/9,53
2017/2/10,54
2017/2/13,53
2017/2/14,53
2017/2/15,53
2017/2/16,53
2017/2/17,53
,
2017/2/21,54
2017/2/22,54
2017/2/23,54
2017/2/24,54
2017/2/27,54
2017/2/28,54
2017/3/1,54
2017/3/2,53
2017/3/3,53
2017/3/6,53
2017/3/7,53
2017/3/8,50
2017/3/9,49
2017/3/10,48
2017/3/13,48
2017/3/14,47
2017/3/15,48
2017/3/16,48
2017/3/17,48
2017/3/20,48
2017/3/21,47
2017/3/22,47
2017/3/23,47
2017/3/24,47
2017/3/27,47
2017/3/28,48
2017/3/29,49
2017/3/30,50
2017/3/31,51
2017/4/3,50
2017/4/4,51
2017/4/5,51
2017/4/6,52
2017/4/7,52
2017/4/10,53
2017/4/11,53
2017/4/12,53
2017/4/13,53
,
2017/4/17,53
2017/4/18,52
2017/4/19,50
2017/4/20,50
2017/4/21,50
2017/4/24,49
2017/4/25,49
2017/4/26,49
2017/4/27,49
2017/4/28,49
2017/5/1,49
2017/5/2,48
2017/5/3,48
2017/5/4,46
2017/5/5,46
2017/5/8,46
2017/5/9,46
2017/5/10,47
2017/5/11,48
2017/5/12,48
2017/5/15,49
2017/5/16,49
2017/5/17,49
2017/5/18,49
2017/5/19,50
2017/5/22,51
2017/5/23,51
2017/5/24,51
2017/5/25,49
2017/5/26,50
,
2017/5/30,50
2017/5/31,48
2017/6/1,48
2017/6/2,48
2017/6/5,47
2017/6/6,48
2017/6/7,46
2017/6/8,46
2017/6/9,46
2017/6/12,46
2017/6/13,46
2017/6/14,45
2017/6/15,44
2017/6/16,45
2017/6/19,44
2017/6/20,43
2017/6/21,42
2017/6/22,43
2017/6/23,43
2017/6/26,43
2017/6/27,44
2017/6/28,45
2017/6/29,45
2017/6/30,46
,
,
2017/7/5,45
2017/7/6,46
2017/7/7,44
2017/7/10,44
2017/7/11,45
2017/7/12,45
2017/7/13,46
2017/7/14,47
2017/7/17,46
2017/7/18,46
2017/7/19,47
2017/7/20,47
2017/7/21,46
2017/7/24,46
2017/7/25,48
2017/7/26,49
2017/7/27,49
2017/7/28,50
2017/7/31,50
2017/8/1,49
2017/8/2,50
2017/8/3,49
2017/8/4,50
2017/8/7,49
2017/8/8,49
2017/8/9,50
2017/8/10,49
2017/8/11,49
2017/8/14,48
2017/8/15,48
2017/8/16,47
2017/8/17,47
2017/8/18,49
2017/8/21,47
2017/8/22,48
2017/8/23,48
2017/8/24,47
2017/8/25,48
2017/8/28,46
2017/8/29,46
2017/8/30,46
2017/8/31,47
2017/9/1,47
,
2017/9/5,49
2017/9/6,49
2017/9/7,49
2017/9/8,47
2017/9/11,48
2017/9/12,48
2017/9/13,49
2017/9/14,50
2017/9/15,50
2017/9/18,50
2017/9/19,50
2017/9/20,50
2017/9/21,51
2017/9/22,50
2017/9/25,52
2017/9/26,52
2017/9/27,52
2017/9/28,52
2017/9/29,52
2017/10/2,51
2017/10/3,50
2017/10/4,50
2017/10/5,51
2017/10/6,49
2017/10/9,50
2017/10/10,51
2017/10/11,51
2017/10/12,51
2017/10/13,51
2017/10/16,52
2017/10/17,52
2017/10/18,52
2017/10/19,51
2017/10/20,52
2017/10/23,52
2017/10/24,52
2017/10/25,52
2017/10/26,52
2017/10/27,54
2017/10/30,54
2017/10/31,54
2017/11/1,54
2017/11/2,55
2017/11/3,56
2017/11/6,57
2017/11/7,57
2017/11/8,57
2017/11/9,57
2017/11/10,57
2017/11/13,57
2017/11/14,56
2017/11/15,55
2017/11/16,55
2017/11/17,56
2017/11/20,56
2017/11/21,57
2017/11/22,58
,
2017/11/24,59
2017/11/27,58
2017/11/28,58
2017/11/29,57
2017/11/30,57
2017/12/1,58
2017/12/4,57
2017/12/5,58
2017/12/6,56
2017/12/7,57
2017/12/8,57
2017/12/11,58
2017/12/12,57
2017/12/13,57
2017/12/14,57
2017/12/15,57
2017/12/18,57
2017/12/19,57
2017/12/20,58
2017/12/21,58
2017/12/22,58
,
2017/12/26,60
2017/12/27,60
2017/12/28,60
2017/12/29,60
,
2018/1/2,60
2018/1/3,62
2018/1/4,62
2018/1/5,61
2018/1/8,62
2018/1/9,63
2018/1/10,64
2018/1/11,64
2018/1/12,64
,
2018/1/16,64
2018/1/17,64
2018/1/18,64
2018/1/19,63
2018/1/22,64
2018/1/23,64
2018/1/24,66
2018/1/25,66
2018/1/26,66
2018/1/29,66
2018/1/30,65
2018/1/31,65
2018/2/1,66
2018/2/2,66
2018/2/5,64
2018/2/6,63
2018/2/7,62
2018/2/8,61
2018/2/9,59
2018/2/12,59
2018/2/13,59
2018/2/14,61
2018/2/15,61
2018/2/16,62
,
2018/2/20,62
2018/2/21,62
2018/2/22,63
2018/2/23,64
2018/2/26,64
2018/2/27,63
2018/2/28,61
2018/3/1,61
2018/3/2,61
2018/3/5,62
2018/3/6,63
2018/3/7,61
2018/3/8,60
2018/3/9,62
2018/3/12,61
2018/3/13,61
2018/3/14,61
2018/3/15,61
2018/3/16,62
2018/3/19,62
2018/3/20,63
2018/3/21,65
2018/3/22,64
2018/3/23,66
2018/3/26,65
2018/3/27,65
2018/3/28,64
2018/3/29,65
,
2018/4/2,63
2018/4/3,63
2018/4/4,63
2018/4/5,64
2018/4/6,62
2018/4/9,63
2018/4/10,65
2018/4/11,67
2018/4/12,67
2018/4/13,67
2018/4/16,66
2018/4/17,67
2018/4/18,68
2018/4/19,68
2018/4/20,68
2018/4/23,68
2018/4/24,68
2018/4/25,68
2018/4/26,68
2018/4/27,68
2018/4/30,69
2018/5/1,67
2018/5/2,68
2018/5/3,68
2018/5/4,70
2018/5/7,71
2018/5/8,69
2018/5/9,71
2018/5/10,71
2018/5/11,71
2018/5/14,71
2018/5/15,71
2018/5/16,71
2018/5/17,71
2018/5/18,71
2018/5/21,72
2018/5/22,72
2018/5/23,72
2018/5/24,71
2018/5/25,68
,
2018/5/29,67
2018/5/30,68
2018/5/31,67
2018/6/1,66
2018/6/4,65
2018/6/5,66
2018/6/6,65
2018/6/7,66
2018/6/8,66
2018/6/11,66
2018/6/12,66
2018/6/13,67
2018/6/14,67
2018/6/15,65
2018/6/18,66
2018/6/19,65
2018/6/20,66
2018/6/21,66
2018/6/22,69
